role,skill,level,type,question,option_a,option_b,option_c,option_d,correct_answer,explanation
Business Analyst,Business Analysis,Beginner,technical,What is the primary goal of business analysis?,Identify business needs,Write technical code,Design UI layouts,Manage payroll,Identify business needs,Business analysis focuses on identifying and solving business problems.
Business Analyst,Business Analysis,Beginner,technical,Which document defines business requirements at a high level?,BRD,Test Case,API Spec,Code Script,BRD,BRD captures business-level needs and scope.
Business Analyst,Business Analysis,Beginner,technical,Who is the main stakeholder in requirement validation?,Business user,Developer intern,HR manager,Sales agent,Business user,End users validate business requirements.
Business Analyst,Business Analysis,Beginner,technical,What is a key responsibility of a BA?,Translate business needs,Write backend code,Deploy servers,Manage accounts,Translate business needs,BA bridges business and technical teams.
Business Analyst,Business Analysis,Beginner,technical,Which technique helps understand workflows?,Process mapping,Code debugging,UI coloring,Server testing,Process mapping,Process maps visualize workflows clearly.
Business Analyst,Business Analysis,Intermediate,technical,What does gap analysis identify?,Difference between current and future state,Employee performance gaps,Salary issues,UI bugs,Difference between current and future state,Gap analysis compares current vs desired state.
Business Analyst,Business Analysis,Intermediate,technical,Which method gathers user requirements effectively?,Stakeholder interviews,Server logs review,Code testing,Database tuning,Stakeholder interviews,Direct interaction gives accurate needs.
Business Analyst,Business Analysis,Intermediate,technical,What is a use case?,Interaction between user and system,Code module,Database schema,Network diagram,Interaction between user and system,Use cases define system-user interactions.
Business Analyst,Business Analysis,Intermediate,technical,What is requirement prioritization?,Ranking based on importance,Writing documentation,Testing features,Deploying code,Ranking based on importance,Helps focus on high-value features.
Business Analyst,Business Analysis,Intermediate,technical,Which framework helps structure thinking?,SWOT analysis,HTML coding,Server config,API testing,SWOT analysis,SWOT helps analyze strengths and risks.
Business Analyst,Business Analysis,Advanced,technical,What is a business capability model?,Representation of business functions,Code architecture,Server layout,UI design,Representation of business functions,It maps what a business does.
Business Analyst,Business Analysis,Advanced,technical,What is value stream mapping used for?,Improving processes,Writing APIs,Fixing UI bugs,Database backup,Improving processes,It identifies inefficiencies in workflows.
Business Analyst,Business Analysis,Advanced,technical,Which approach ensures continuous improvement?,Agile methodology,Waterfall only,Manual testing,Static planning,Agile methodology,Agile supports iteration and improvement.
Business Analyst,Business Analysis,Advanced,technical,What is root cause analysis?,Finding underlying issue,Writing reports,Testing UI,Monitoring logs,Finding underlying issue,It identifies core problem causes.
Business Analyst,Business Analysis,Advanced,technical,Which metric measures process efficiency?,Cycle time,Color scheme,Code length,UI clicks,Cycle time,Cycle time reflects process speed.
Business Analyst,Business Analysis,Beginner,situational,A stakeholder is unclear about requirements. What should you do?,Clarify through discussion,Ignore and proceed,Delay project indefinitely,Ask developer to decide,Clarify through discussion,Clarification ensures accurate requirements.
Business Analyst,Business Analysis,Intermediate,situational,Two stakeholders give conflicting inputs. What is the best approach?,Facilitate alignment meeting,Choose one randomly,Ignore both inputs,Escalate immediately,Facilitate alignment meeting,Alignment ensures consensus.
Business Analyst,Business Analysis,Intermediate,situational,Requirements keep changing frequently. What should you do?,Implement change control,Reject all changes,Ignore updates,Delay project,Implement change control,Structured process manages changes.
Business Analyst,Business Analysis,Advanced,situational,A project is failing due to unclear scope. What should you do?,Re-define scope clearly,Continue execution,Blame team,Stop communication,Re-define scope clearly,Clear scope is critical for success.
Business Analyst,Business Analysis,Advanced,situational,A senior stakeholder pushes unrealistic deadlines. What should you do?,Negotiate with data,Accept blindly,Ignore timeline,Delay silently,Negotiate with data,Data-backed negotiation is effective.
Business Analyst,Requirement Gathering,Beginner,technical,What is the main goal of requirement gathering?,Understand user needs,Write code modules,Design UI screens,Manage servers,Understand user needs,Requirement gathering focuses on capturing user needs.
Business Analyst,Requirement Gathering,Beginner,technical,Which technique is commonly used to gather requirements?,Interviews,Code review,Server setup,UI testing,Interviews,Interviews help gather detailed insights.
Business Analyst,Requirement Gathering,Beginner,technical,What type of requirement describes system behavior?,Functional requirement,UI theme,Server logs,Database index,Functional requirement,Functional requirements define system behavior.
Business Analyst,Requirement Gathering,Beginner,technical,What type defines performance constraints?,Non-functional requirement,Code script,UI design,Test case,Non-functional requirement,Non-functional requirements define performance and limits.
Business Analyst,Requirement Gathering,Beginner,technical,Which document captures requirements formally?,BRD,Source code,API log,Test run,BRD,BRD documents requirements clearly.
Business Analyst,Requirement Gathering,Intermediate,technical,What is requirement elicitation?,Collecting requirements,Testing code,Deploying apps,Managing payroll,Collecting requirements,Elicitation involves gathering requirements from stakeholders.
Business Analyst,Requirement Gathering,Intermediate,technical,Which method helps group user needs visually?,Affinity diagram,Code compilation,Server mapping,UI wireframe,Affinity diagram,It clusters similar ideas together.
Business Analyst,Requirement Gathering,Intermediate,technical,What is a user story?,Short description of feature,Database table,Server config,Test report,Short description of feature,User stories capture requirements simply.
Business Analyst,Requirement Gathering,Intermediate,technical,What is MoSCoW prioritization?,Must Should Could Won’t framework,Database sorting,Code logic method,UI alignment rule,Must Should Could Won’t framework,It categorizes priorities effectively.
Business Analyst,Requirement Gathering,Intermediate,technical,Which tool is used for documenting requirements?,Jira,Photoshop,VS Code,Docker,Jira,Jira is widely used for tracking requirements.
Business Analyst,Requirement Gathering,Advanced,technical,What is requirement traceability?,Tracking requirement lifecycle,Writing reports,Testing UI,Managing logs,Tracking requirement lifecycle,Traceability links requirements to outcomes.
Business Analyst,Requirement Gathering,Advanced,technical,What ensures requirements completeness?,Validation process,Code execution,Server restart,UI testing,Validation process,Validation ensures requirements are correct.
Business Analyst,Requirement Gathering,Advanced,technical,What is stakeholder analysis?,Identifying stakeholder influence,Writing code,Testing system,Deploying app,Identifying stakeholder influence,It evaluates stakeholder impact.
Business Analyst,Requirement Gathering,Advanced,technical,What is backlog refinement?,Updating requirement backlog,Deleting code,Testing UI,Restarting server,Updating requirement backlog,Refinement improves backlog clarity.
Business Analyst,Requirement Gathering,Advanced,technical,What is acceptance criteria?,Conditions for feature success,Code comments,Server logs,UI design,Conditions for feature success,Defines when a feature is complete.
Business Analyst,Requirement Gathering,Beginner,situational,A user is unable to explain requirements clearly. What should you do?,Ask probing questions,Ignore user input,Delay project,Ask developer to decide,Ask probing questions,Probing helps uncover real needs.
Business Analyst,Requirement Gathering,Intermediate,situational,Multiple stakeholders request different features. What should you do?,Prioritize based on value,Implement all immediately,Ignore conflicts,Delay indefinitely,Prioritize based on value,Prioritization ensures focus.
Business Analyst,Requirement Gathering,Intermediate,situational,A requirement is incomplete. What should you do?,Seek clarification,Proceed anyway,Ignore requirement,Remove it entirely,Seek clarification,Clarification avoids future issues.
Business Analyst,Requirement Gathering,Advanced,situational,A critical requirement is missing late in project. What should you do?,Assess impact and update scope,Ignore it,Blame team,Delay delivery silently,Assess impact and update scope,Impact analysis helps decision-making.
Business Analyst,Requirement Gathering,Advanced,situational,Stakeholders disagree on priority. What should you do?,Facilitate discussion with data,Choose randomly,Escalate without context,Ignore both,Facilitate discussion with data,Data-driven discussion resolves conflict.
Business Analyst,Stakeholder Management,Beginner,technical,Who is a stakeholder?,Anyone impacted by project,Only developers,Only managers,Only testers,Anyone impacted by project,Stakeholders include anyone affected by outcomes.
Business Analyst,Stakeholder Management,Beginner,technical,What is stakeholder mapping?,Identifying stakeholder influence,Writing code,Designing UI,Testing software,Identifying stakeholder influence,Mapping helps understand power and interest.
Business Analyst,Stakeholder Management,Beginner,technical,Which group has high power and high interest?,Key stakeholders,Observers,End users only,Vendors only,Key stakeholders,They require close management.
Business Analyst,Stakeholder Management,Beginner,technical,What is communication plan?,Strategy to inform stakeholders,Code structure,UI layout,Test plan,Strategy to inform stakeholders,Ensures consistent communication.
Business Analyst,Stakeholder Management,Beginner,technical,Which skill is critical for stakeholder management?,Communication,Debugging,UI design,Server setup,Communication,Clear communication builds alignment.
Business Analyst,Stakeholder Management,Intermediate,technical,What is stakeholder engagement?,Involving stakeholders actively,Ignoring stakeholders,Only sending emails,Only reporting status,Involving stakeholders actively,Engagement builds trust.
Business Analyst,Stakeholder Management,Intermediate,technical,What is RACI matrix?,Responsibility assignment tool,Database schema,UI layout,Testing method,Responsibility assignment tool,RACI defines roles clearly.
Business Analyst,Stakeholder Management,Intermediate,technical,What is escalation?,Raising issue to higher authority,Fixing code,Testing UI,Updating database,Raising issue to higher authority,Escalation resolves blockers.
Business Analyst,Stakeholder Management,Intermediate,technical,What is stakeholder expectation management?,Aligning expectations with reality,Ignoring expectations,Overpromising,Delaying communication,Aligning expectations with reality,Prevents dissatisfaction.
Business Analyst,Stakeholder Management,Intermediate,technical,Which approach builds trust?,Transparent communication,Hidden updates,Delayed responses,Minimal interaction,Transparent communication,Transparency builds credibility.
Business Analyst,Stakeholder Management,Advanced,technical,What is stakeholder influence analysis?,Evaluating impact and power,Writing reports,Testing system,Deploying code,Evaluating impact and power,Helps prioritize stakeholders.
Business Analyst,Stakeholder Management,Advanced,technical,What is change resistance?,Opposition to change,Code failure,UI bug,Server crash,Opposition to change,Common in organizational change.
Business Analyst,Stakeholder Management,Advanced,technical,What is negotiation in BA role?,Reaching mutually beneficial agreement,Forcing decisions,Ignoring feedback,Delaying action,Reaching mutually beneficial agreement,Negotiation balances interests.
Business Analyst,Stakeholder Management,Advanced,technical,What is stakeholder alignment?,Ensuring shared understanding,Ignoring differences,Working independently,Reducing communication,Ensuring shared understanding,Alignment ensures smooth execution.
Business Analyst,Stakeholder Management,Advanced,technical,What is influence without authority?,Guiding decisions without power,Managing servers,Writing code,Testing UI,Guiding decisions without power,Important leadership skill.
Business Analyst,Stakeholder Management,Beginner,situational,A stakeholder is unresponsive. What should you do?,Follow up with clarity,Ignore them,Delay project,Escalate immediately,Follow up with clarity,Clear follow-ups improve response.
Business Analyst,Stakeholder Management,Intermediate,situational,A stakeholder keeps changing requirements. What should you do?,Implement change control process,Accept all changes instantly,Ignore updates,Delay delivery,Implement change control process,Controls scope creep.
Business Analyst,Stakeholder Management,Intermediate,situational,Two teams disagree on requirements. What should you do?,Facilitate joint discussion,Choose one team,Ignore both,Escalate blindly,Facilitate joint discussion,Collaboration resolves conflict.
Business Analyst,Stakeholder Management,Advanced,situational,A senior stakeholder dominates decisions. What should you do?,Balance input using data,Agree without question,Ignore them,Delay discussion,Balance input using data,Data ensures fairness.
Business Analyst,Stakeholder Management,Advanced,situational,Stakeholders are misaligned on goals. What should you do?,Re-align objectives clearly,Proceed anyway,Ignore differences,Delay communication,Re-align objectives clearly,Clear goals drive alignment.
Business Analyst,Documentation (BRD/FRD),Beginner,technical,What does BRD stand for?,Business Requirement Document,Basic Report Design,Backend Resource Data,Business Role Definition,Business Requirement Document,BRD captures high-level business needs.
Business Analyst,Documentation (BRD/FRD),Beginner,technical,What does FRD define?,Functional system details,Financial reports,Frontend design,Framework rules,Functional system details,FRD defines system behavior.
Business Analyst,Documentation (BRD/FRD),Beginner,technical,Which document is more technical?,FRD,BRD,Project charter,Test case,FRD,FRD contains technical-level details.
Business Analyst,Documentation (BRD/FRD),Beginner,technical,What is a key section in BRD?,Business objectives,Code snippets,Server logs,UI themes,Business objectives,BRD focuses on business goals.
Business Analyst,Documentation (BRD/FRD),Beginner,technical,Who reviews BRD?,Stakeholders,Only developers,Only testers,Only HR,Stakeholders,Stakeholders validate business needs.
Business Analyst,Documentation (BRD/FRD),Intermediate,technical,What ensures clarity in documentation?,Clear language,Complex jargon,Long paragraphs,Minimal details,Clear language,Clarity avoids misunderstandings.
Business Analyst,Documentation (BRD/FRD),Intermediate,technical,What is version control in documentation?,Tracking changes,Writing reports,Testing UI,Deploying code,Tracking changes,Version control maintains history.
Business Analyst,Documentation (BRD/FRD),Intermediate,technical,What is a use case diagram?,Visual system interaction,Code structure,Server map,UI layout,Visual system interaction,Shows user-system relationships.
Business Analyst,Documentation (BRD/FRD),Intermediate,technical,What improves document readability?,Structured format,Random notes,Long text blocks,Unclear terms,Structured format,Structure improves understanding.
Business Analyst,Documentation (BRD/FRD),Intermediate,technical,What is a requirement specification?,Detailed requirement description,Code module,UI template,Server config,Detailed requirement description,Defines requirements precisely.
Business Analyst,Documentation (BRD/FRD),Advanced,technical,What is traceability matrix?,Mapping requirements to outputs,Writing reports,Testing UI,Managing logs,Mapping requirements to outputs,Ensures coverage and tracking.
Business Analyst,Documentation (BRD/FRD),Advanced,technical,What is documentation standardization?,Consistent document format,Random writing,Code reuse,Server config,Consistent document format,Standardization improves usability.
Business Analyst,Documentation (BRD/FRD),Advanced,technical,What is ambiguity in requirements?,Unclear meaning,Code error,UI bug,Server issue,Unclear meaning,Ambiguity leads to confusion.
Business Analyst,Documentation (BRD/FRD),Advanced,technical,What is requirement validation?,Ensuring correctness,Writing reports,Testing UI,Deploying code,Ensuring correctness,Validation confirms accuracy.
Business Analyst,Documentation (BRD/FRD),Advanced,technical,What is documentation review?,Checking accuracy and completeness,Writing new code,Testing servers,Updating UI,Checking accuracy and completeness,Review ensures quality.
Business Analyst,Documentation (BRD/FRD),Beginner,situational,A document is unclear to stakeholders. What should you do?,Simplify and clarify,Ignore feedback,Delay project,Rewrite later,Simplify and clarify,Clarity improves understanding.
Business Analyst,Documentation (BRD/FRD),Intermediate,situational,Requirements are misunderstood by team. What should you do?,Refine documentation clearly,Blame team,Ignore issue,Delay work,Refine documentation clearly,Clear docs prevent confusion.
Business Analyst,Documentation (BRD/FRD),Intermediate,situational,Documentation is outdated. What should you do?,Update it immediately,Ignore it,Delete it,Delay update,Update it immediately,Up-to-date docs are critical.
Business Analyst,Documentation (BRD/FRD),Advanced,situational,Multiple versions of document exist. What should you do?,Implement version control,Ignore duplicates,Delete all,Delay review,Implement version control,Version control ensures consistency.
Business Analyst,Documentation (BRD/FRD),Advanced,situational,Stakeholder rejects documentation. What should you do?,Review and incorporate feedback,Ignore rejection,Escalate immediately,Delay project,Review and incorporate feedback,Feedback improves quality.
Business Analyst,SQL,Beginner,technical,What does SQL stand for?,Structured Query Language,Simple Query Logic,System Query Layer,Standard Question List,Structured Query Language,SQL is used to manage relational databases.
Business Analyst,SQL,Beginner,technical,Which SQL statement retrieves data?,SELECT,INSERT,UPDATE,DELETE,SELECT,SELECT is used to fetch data.
Business Analyst,SQL,Beginner,technical,Which clause filters records?,WHERE,ORDER BY,GROUP BY,JOIN,WHERE,WHERE filters rows based on conditions.
Business Analyst,SQL,Beginner,technical,Which keyword sorts results?,ORDER BY,GROUP BY,WHERE,HAVING,ORDER BY,ORDER BY arranges data.
Business Analyst,SQL,Beginner,technical,Which statement adds data?,INSERT,SELECT,DELETE,JOIN,INSERT,INSERT adds new records.
Business Analyst,SQL,Intermediate,technical,What does INNER JOIN do?,Returns matching rows,Returns all rows,Deletes duplicates,Sorts data,Returns matching rows,INNER JOIN combines matching records.
Business Analyst,SQL,Intermediate,technical,What is GROUP BY used for?,Aggregating data,Filtering rows,Sorting results,Deleting data,Aggregating data,GROUP BY groups rows for aggregation.
Business Analyst,SQL,Intermediate,technical,Which function counts rows?,COUNT,SUM,AVG,MAX,COUNT,COUNT returns number of rows.
Business Analyst,SQL,Intermediate,technical,What does HAVING clause do?,Filters grouped data,Sorts rows,Deletes records,Adds data,Filters grouped data,HAVING filters after grouping.
Business Analyst,SQL,Intermediate,technical,What is a primary key?,Unique identifier,Duplicate field,Optional column,Foreign reference,Unique identifier,Primary key uniquely identifies rows.
Business Analyst,SQL,Advanced,technical,What is indexing used for?,Improving query performance,Deleting records,Sorting data,Grouping rows,Improving query performance,Indexes speed up data retrieval.
Business Analyst,SQL,Advanced,technical,What is normalization?,Reducing redundancy,Increasing duplication,Sorting data,Deleting tables,Reducing redundancy,Normalization organizes data efficiently.
Business Analyst,SQL,Advanced,technical,What is a subquery?,Query inside another query,Primary key,Table join,Database schema,Query inside another query,Subqueries are nested queries.
Business Analyst,SQL,Advanced,technical,What is a view?,Virtual table,Physical table,Stored procedure,Index structure,Virtual table,View is a stored query result.
Business Analyst,SQL,Advanced,technical,What is transaction?,Unit of work,Data type,Table join,Query plan,Unit of work,Transaction ensures data consistency.
Business Analyst,SQL,Beginner,situational,A query returns too many rows. What should you do?,Add filters,Delete data,Restart server,Ignore results,Add filters,Filtering improves accuracy.
Business Analyst,SQL,Intermediate,situational,A join gives unexpected results. What should you do?,Check join conditions,Delete table,Ignore issue,Restart query,Check join conditions,Incorrect joins cause issues.
Business Analyst,SQL,Intermediate,situational,A query is slow. What should you do?,Optimize query,Delete database,Ignore delay,Restart system,Optimize query,Optimization improves performance.
Business Analyst,SQL,Advanced,situational,Data duplication is observed. What should you do?,Apply normalization,Ignore issue,Delete all data,Restart server,Apply normalization,Normalization removes redundancy.
Business Analyst,SQL,Advanced,situational,Transaction fails midway. What should you do?,Rollback changes,Ignore error,Restart system,Delete table,Rollback changes,Rollback ensures consistency.
Business Analyst,SQL,Advanced,technical,What is a LEFT JOIN?,Returns all left rows and matching right,Returns only matching rows,Deletes unmatched rows,Sorts data,Returns all left rows and matching right,LEFT JOIN keeps all left table records.
Business Analyst,SQL,Advanced,technical,What is a RIGHT JOIN?,Returns all right rows and matching left,Returns only matching rows,Deletes unmatched rows,Groups data,Returns all right rows and matching left,RIGHT JOIN keeps all right table records.
Business Analyst,SQL,Advanced,technical,What is a FULL OUTER JOIN?,Returns all rows from both tables,Returns only matching rows,Deletes duplicates,Sorts data,Returns all rows from both tables,Includes matched and unmatched rows.
Business Analyst,SQL,Advanced,technical,What is a window function?,Performs calculation across rows,Deletes rows,Creates table,Sorts columns,Performs calculation across rows,Used for advanced analytics.
Business Analyst,SQL,Advanced,technical,What is a CTE?,Temporary result set,Primary key,Table index,Join condition,Temporary result set,CTE simplifies complex queries.
Business Analyst,Data Analysis,Beginner,technical,What is data analysis?,Inspecting data for insights,Writing code,Designing UI,Managing servers,Inspecting data for insights,It helps decision-making.
Business Analyst,Data Analysis,Beginner,technical,What is descriptive analysis?,Summarizing past data,Predicting future data,Optimizing systems,Testing software,Summarizing past data,Descriptive analysis explains what happened.
Business Analyst,Data Analysis,Beginner,technical,What is data cleaning?,Fixing inaccurate data,Writing queries,Designing UI,Deploying apps,Fixing inaccurate data,Clean data improves analysis.
Business Analyst,Data Analysis,Beginner,technical,What is dataset?,Collection of data,Single value,Code block,UI design,Collection of data,Dataset is structured data.
Business Analyst,Data Analysis,Beginner,technical,What is variable?,Data attribute,Database table,Server log,UI component,Data attribute,Variables represent features.
Business Analyst,Data Analysis,Intermediate,technical,What is exploratory data analysis?,Understanding data patterns,Writing code,Testing system,Deploying app,Understanding data patterns,EDA explores data visually.
Business Analyst,Data Analysis,Intermediate,technical,What is correlation?,Relationship between variables,Sorting data,Deleting data,Grouping data,Relationship between variables,Correlation shows association.
Business Analyst,Data Analysis,Intermediate,technical,What is mean?,Average value,Maximum value,Minimum value,Total sum,Average value,Mean represents central tendency.
Business Analyst,Data Analysis,Intermediate,technical,What is outlier?,Extreme value,Average value,Duplicate value,Missing value,Extreme value,Outliers deviate from normal.
Business Analyst,Data Analysis,Intermediate,technical,What is data visualization?,Graphical representation of data,Code writing,Server setup,UI design,Graphical representation of data,Visuals simplify insights.
